_id,neighborhood,school,enrolled_students
146,East Hills,PITTSBURGH ALLDERDICE HIGH SCHOOL,44
147,East Hills,PITTSBURGH OBAMA IB 6-12,37
148,East Hills,PITTSBURGH CRESCENT EARLY CHILDHOOD,30
149,East Hills,PITTSBURGH LIBERTY K-5,29
150,East Hills,PITTSBURGH DILWORTH PreK-5,24
151,East Hills,PITTSBURGH STERRETT 6-8,19
152,East Hills,PITTSBURGH LINDEN K-5,15
153,East Hills,PITTSBURGH FULTON PreK-5,14
154,East Hills,PITTSBURGH CAPA 6-12,12
155,East Liberty,Other,83
156,East Liberty,PITTSBURGH FULTON PreK-5,75
157,East Liberty,PITTSBURGH OBAMA IB 6-12,47
158,East Liberty,PITTSBURGH WESTINGHOUSE ACADEMY 6-12,43
159,East Liberty,PITTSBURGH SUNNYSIDE PreK-8,38
160,East Liberty,PITTSBURGH DILWORTH PreK-5,37
161,East Liberty,PITTSBURGH LINCOLN PreK-5,29
162,East Liberty,PITTSBURGH ALLDERDICE HIGH SCHOOL,22
163,East Liberty,PITTSBURGH LIBERTY K-5,21
164,East Liberty,PITTSBURGH STERRETT 6-8,21
165,East Liberty,PITTSBURGH COLFAX K-8,17
166,East Liberty,PITTSBURGH MILLIONES 6-12,14
167,East Liberty,PITTSBURGH MONTESSORI PreK-5,14
168,East Liberty,PITTSBURGH CAPA 6-12,13
169,East Liberty,PITTSBURGH OBAMA EARLY CHILDHOOD,11
170,East Liberty,PITTSBURGH SCIENCE AND TECHNOLOGY ACADEMY,11
171,Elliott,Other,93
172,Elliott,PITTSBURGH LANGLEY K-8,54
173,Elliott,PITTSBURGH BRASHEAR HIGH SCHOOL,41
174,Elliott,PITTSBURGH WESTWOOD K-5,23
175,Elliott,PITTSBURGH CARMALT PreK-8,18
176,Esplen,Other,26
177,Fairywood,Other,48
178,Fairywood,PITTSBURGH WESTWOOD K-5,20
179,Fairywood,PITTSBURGH BRASHEAR HIGH SCHOOL,16
180,Fairywood,PITTSBURGH SOUTH HILLS 6-8,11
181,Fineview,Other,44
182,Fineview,PITTSBURGH KING PreK-8,31
183,Fineview,PITTSBURGH ALLEGHENY K-5,13
184,Friendship,Other,40
185,Friendship,PITTSBURGH ALLDERDICE HIGH SCHOOL,12
186,Garfield,Other,108
187,Garfield,PITTSBURGH ARSENAL PreK-5,85
188,Garfield,PITTSBURGH OBAMA IB 6-12,64
189,Garfield,PITTSBURGH ARSENAL 6-8,54
190,Garfield,PITTSBURGH MILLIONES 6-12,37
191,Garfield,PITTSBURGH FULTON PreK-5,34
192,Garfield,PITTSBURGH ALLDERDICE HIGH SCHOOL,25
193,Garfield,PITTSBURGH DILWORTH PreK-5,24
194,Garfield,PITTSBURGH LIBERTY K-5,23
195,Garfield,PITTSBURGH CAPA 6-12,16
